ACC-00025,TXN-000002,2026-01-11,transfer,23892.36,BookMyShow,Bangalore,no,Hemant Jain,NRI,2023-02-17,Hyderabad_Hitech,verified,500000,,,Normal
ACC-00029,TXN-000003,2026-02-03,credit,15277.03,Swiggy,New York,yes,Tanuja Nair,salary,2024-05-02,Pune_FC,verified,100000,money_laundering,2026-01-13,Fraud
ACC-00007,TXN-000004,2026-03-05,withdrawal,5498.74,ATM,Delhi,no,Prakash Rao,NRI,2016-10-04,Pune_FC,expired,500000,,,Normal
ACC-00029,TXN-000005,2026-02-23,debit,919.78,Flipkart,Chennai,no,Tanuja Nair,salary,2024-05-02,Pune_FC,verified,100000,money_laundering,2026-01-13,Fraud
ACC-00047,TXN-000006,2026-02-09,debit,22417.98,Swiggy,Mumbai,no,Pawan Arora,savings,2024-02-02,Hyderabad_Hitech,pending,100000,,,Normal
ACC-00003,TXN-000007,2026-02-22,transfer,3832.61,BigBasket,Singapore,yes,Anil Reddy,current,2022-07-03,Bangalore_MG,verified,0,,,Normal
ACC-00037,TXN-000008,2026-03-01,withdrawal,11979.58,PhonePe,Delhi,no,Naveen Chadha,salary,2015-11-09,Kolkata_Park,expired,50000,,,Normal
ACC-00035,TXN-000009,2026-01-08,withdrawal,23856.18,Unknown_Merchant,New York,yes,Tarun Bose,savings,2017-10-27,Delhi_CP,expired,500000,,,Normal
ACC-00008,TXN-000010,2026-03-19,transfer,8369.32,BookMyShow,Singapore,yes,Lata Mishra,salary,2022-11-22,Mumbai_Main,verified,100000,,,Normal
ACC-00004,TXN-000011,2026-03-21,debit,9165.62,Unknown_Merchant,London,yes,Meena Iyer,NRI,2021-10-26,Bangalore_MG,verified,100000,,,Normal
ACC-00006,TXN-000012,2026-02-27,transfer,16212.42,Swiggy,Tokyo,yes,Kavita Joshi,NRI,2020-09-04,Kolkata_Park,verified,200000,,,Normal
ACC-00003,TXN-000013,2026-03-13,credit,7506.82,PhonePe,Delhi,no,Anil Reddy,current,2022-07-03,Bangalore_MG,verified,0,,,Normal
ACC-00041,TXN-000014,2026-02-23,withdrawal,2167.32,ATM,New York,yes,Rohit Saxena,savings,2016-09-21,Bangalore_MG,rejected,500000,,,Normal
ACC-00048,TXN-000015,2026-01-07,debit,4867.66,POS_Terminal,Chennai,no,Sweta Bajaj,savings,2016-02-28,Hyderabad_Hitech,verified,0,,,Normal
ACC-00016,TXN-000016,2026-02-16,debit,19828.84,ATM,Dubai,yes,Asha Verma,NRI,2017-04-18,Chennai_T_Nagar,expired,200000,,,Normal
ACC-00032,TXN-000017,2026-02-18,debit,974.21,Amazon,London,yes,Neelam Kaur,salary,2019-05-01,Pune_FC,verified,100000,,,Normal
ACC-00047,TXN-000018,2026-02-02,debit,5331.37,ATM,Tokyo,yes,Pawan Arora,savings,2024-02-02,Hyderabad_Hitech,pending,100000,,,Normal
ACC-00030,TXN-000019,2026-03-22,credit,18539.23,Uber,Delhi,no,Bhaskar Menon,savings,2019-12-20,Mumbai_Main,verified,50000,,,Normal
